Code,Region,Name,A&E attendances - Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage of attendances within 4 hours - Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions - Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
NNJ15,NHS England Midlands ,Oakham,0,0,0,0,1693,1691,2,1693,0,0,0,0,1693,1691,2,1691,0,0,0,0,1693,1691,2,2,0.9988186650915535,-,-,0.9988186650915535,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,34836,3400,2884,516,23997,23750,247,62233,18532,3400,2884,516,23997,23750,247,45166,16304,3400,2884,516,23997,23750,247,17067,0.7257564314752624,0.5319784131358365,0.8482352941176471,0.9897070467141726,7454,0,82,7536,659,8195,3817,1705
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,33683,0,0,0,16046,14793,1253,49729,21528,0,0,0,16046,14793,1253,36321,12155,0,0,0,16046,14793,1253,13408,0.7303786522954413,0.6391354689309147,-,0.9219120029913997,11212,0,0,11212,889,12101,3739,1331
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,0,0,8934,8904,30,8934,0,0,0,0,8934,8904,30,8904,0,0,0,0,8934,8904,30,30,0.9966420416386836,-,-,0.9966420416386836,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,0,0,1579,1579,0,1579,0,0,0,0,1579,1579,0,1579,0,0,0,0,1579,1579,0,0,1,-,-,1,0,0,0,0,9,9,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,0,0,11107,11107,0,11107,0,0,0,0,11107,11107,0,11107,0,0,0,0,11107,11107,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire NHS Foundation Trust,24424,0,0,0,1152,1152,0,25576,17753,0,0,0,1152,1152,0,18905,6671,0,0,0,1152,1152,0,6671,0.739169533938067,0.7268670160497871,-,1,5256,0,0,5256,1945,7201,1943,454
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,0,0,8681,8681,0,8681,0,0,0,0,8681,8681,0,8681,0,0,0,0,8681,8681,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,29154,0,0,0,13838,13555,283,42992,20277,0,0,0,13838,13555,283,33832,8877,0,0,0,13838,13555,283,9160,0.7869371045775958,0.6955134801399465,-,0.9795490677843619,10443,0,0,10443,7900,18343,6307,335
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,100,100,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,33327,4502,4377,125,21993,21312,681,59822,21394,4502,4377,125,21993,21312,681,47083,11933,4502,4377,125,21993,21312,681,12739,0.7870515863729063,0.641941968974105,0.9722345624167037,0.9690356022370754,8181,0,132,8313,12348,20661,4348,1833
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,31915,0,0,0,7463,6399,1064,39378,14080,0,0,0,7463,6399,1064,20479,17835,0,0,0,7463,6399,1064,18899,0.5200619635329372,0.44117186276045744,-,0.8574299879405065,10470,0,487,10957,6471,17428,5827,4140
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,52289,0,0,0,13607,12693,914,65896,32118,0,0,0,13607,12693,914,44811,20171,0,0,0,13607,12693,914,21085,0.6800261017360689,0.614240088737593,-,0.9328286911148673,14814,0,0,14814,3509,18323,6016,4023
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,98891,1064,1064,0,9769,9666,103,109724,57897,1064,1064,0,9769,9666,103,68627,40994,1064,1064,0,9769,9666,103,41097,0.625451131931027,0.5854627822552103,1,0.9894564438530044,30809,0,0,30809,22873,53682,13148,5510
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,37287,7647,7332,315,17551,17197,354,62485,21990,7647,7332,315,17551,17197,354,46519,15297,7647,7332,315,17551,17197,354,15966,0.7444826758422022,0.5897497787432617,0.9588073754413495,0.9798302091048943,2820,114,119,3053,1014,4067,178,33
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,62779,0,0,0,26886,26878,8,89665,34172,0,0,0,26886,26878,8,61050,28607,0,0,0,26886,26878,8,28615,0.6808676741203368,0.5443221459405215,-,0.9997024473703786,11650,0,2,11652,6250,17902,6068,2726
